1,NOP,NOP,NOP,NOP,NOP
2,add,NOP,NOP,NOP,NOP
3,NOP,add,NOP,NOP,NOP
4,NOP,NOP,add,NOP,NOP
5,sub,NOP,NOP,add,NOP
6,NOP,sub,NOP,NOP,add
7,NOP,NOP,sub,NOP,NOP
8,mul,NOP,NOP,sub,NOP
9,NOP,mul,NOP,NOP,sub
10,NOP,NOP,mul,NOP,NOP
11,b,NOP,NOP,mul,NOP
12,NOP,b,NOP,NOP,mul
13,NOP,NOP,b,NOP,NOP
14,add,NOP,NOP,b,NOP
15,NOP,add,NOP,NOP,b
16,NOP,NOP,add,NOP,NOP
17,add,NOP,NOP,add,NOP
18,NOP,add,NOP,NOP,add
19,NOP,NOP,add,NOP,NOP
20,sub,NOP,NOP,add,NOP
21,NOP,sub,NOP,NOP,add
22,NOP,NOP,sub,NOP,NOP
23,NOP,NOP,NOP,sub,NOP
24,NOP,NOP,NOP,NOP,sub
25,NOP,NOP,NOP,NOP,NOP
26,NOP,NOP,NOP,NOP,NOP
27,NOP,NOP,NOP,NOP,NOP
